Strain,Lineage,CFU,Spores
IQ146,7,52000000,100
IQ036,4,2600000,0
IQ129,6,30000000,3100
IQ024,6,14600000,186000
LH019,2,19000000,1100
IQ153,7,30000000,1300
LH115,5,17000000,100
LH043,6,20000000,230
IQ147,5,7000000,0
IQ133,5,7600000,0
IQ002,3,19000000,860
IQ101,3,1300000,200
IQ093,5,28600000,830
IQ078,1,16000000,0
LHN006,3,32000000,460
LH057,7,33000000,13000
LH101,7,50000000,600
IQ192,7,25000000,0
IQ037,6,300000000,1600000
LH111,5,25000000,0
IQ056,5,28000000,0
IQ041,5,23000000,0
IQ190,5,6300000,0
IQ175,5,5500000,0
IQ109,5,27000000,0
IQ205,5,13000000,0
IQ058,5,100000000,100
IQ106,1,8000000,0
IQ005,1,32000000,300
IQ014,8,12000000,2300000
ATCC13124,,31000000,0