Group,Lineage,Time,Value
pfoA+,Lineage 7,0,100
pfoA+,Lineage 7,48,9.375000023
pfoA+,Lineage 7,96,2.100000005
pfoA+,Lineage 7,144,0.600000002
pfoA+,Lineage 7,192,0.03375
pfoA+,Lineage 7,240,0.008625
pfoA+,Lineage 7,288,0.00111
pfoA+,Lineage 7,336,0.0013875
pfoA+,Lineage 4,0,100
pfoA+,Lineage 4,48,8.846153846
pfoA+,Lineage 4,96,0.576923077
pfoA+,Lineage 4,144,0.088461538
pfoA+,Lineage 4,192,0.038461538
pfoA+,Lineage 4,240,0.010769231
pfoA+,Lineage 4,288,0.013576923
pfoA+,Lineage 4,336,0.004615385
pfoA+,Lineage 6,0,100
pfoA+,Lineage 6,48,6.52173913
pfoA+,Lineage 6,96,2.173913043
pfoA+,Lineage 6,144,0.069565217
pfoA+,Lineage 6,192,0.046086957
pfoA+,Lineage 6,240,0.008695652
pfoA+,Lineage 6,288,0.001043478
pfoA+,Lineage 6,336,0.000273913
pfoA+,Lineage 6,0,100
pfoA+,Lineage 6,48,3.203846154
pfoA+,Lineage 6,96,0.511538462
pfoA+,Lineage 6,144,0.069230769
pfoA+,Lineage 6,192,0.023076923
pfoA+,Lineage 6,240,0.016653846
pfoA+,Lineage 6,288,0.01
pfoA+,Lineage 6,336,0.003846154
pfoA-,Lineage 2,0,100
pfoA-,Lineage 2,48,0.176923077
pfoA-,Lineage 2,96,0.035384615
pfoA-,Lineage 2,144,0.000430769
pfoA-,Lineage 2,192,7.69E-05
pfoA-,Lineage 2,240,0.0000001
pfoA-,Lineage 2,288,0.0000001
pfoA-,Lineage 2,336,0.0000001
pfoA+,Lineage 7,0,100
pfoA+,Lineage 7,48,29.09090909
pfoA+,Lineage 7,96,7.878787879
pfoA+,Lineage 7,144,0.666666667
pfoA+,Lineage 7,192,0.412121212
pfoA+,Lineage 7,240,0.251515152
pfoA+,Lineage 7,288,0.109090909
pfoA+,Lineage 7,336,0.013636364
pfoA+,Lineage 5,0,100
pfoA+,Lineage 5,48,2.538461538
pfoA+,Lineage 5,96,0.202307692
pfoA+,Lineage 5,144,0.035384615
pfoA+,Lineage 5,192,0.012307692
pfoA+,Lineage 5,240,0.002
pfoA+,Lineage 5,288,0.002230769
pfoA+,Lineage 5,336,0.000584615
pfoA-,Lineage 6,0,100
pfoA-,Lineage 6,48,7.166666667
pfoA-,Lineage 6,96,1.666666667
pfoA-,Lineage 6,144,0.383333333
pfoA-,Lineage 6,192,0.205
pfoA-,Lineage 6,240,0.008
pfoA-,Lineage 6,288,0.006666667
pfoA-,Lineage 6,336,0.002666667
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,9.411764706
pfoA-,Lineage 5,96,0.764705882
pfoA-,Lineage 5,144,0.211764706
pfoA-,Lineage 5,192,0.176470588
pfoA-,Lineage 5,240,0.018235294
pfoA-,Lineage 5,288,0.004470588
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,32.06896552
pfoA-,Lineage 5,96,6.896551724
pfoA-,Lineage 5,144,0.4
pfoA-,Lineage 5,192,0.275862069
pfoA-,Lineage 5,240,0.296551724
pfoA-,Lineage 5,288,0.005862069
pfoA-,Lineage 5,336,0.002413793
pfoA+,Lineage 3,0,100
pfoA+,Lineage 3,48,3.608695652
pfoA+,Lineage 3,96,0.047826087
pfoA+,Lineage 3,144,0.008695652
pfoA+,Lineage 3,192,0.004347826
pfoA+,Lineage 3,240,0.002217391
pfoA+,Lineage 3,288,0.00126087
pfoA+,Lineage 3,336,0.000926087
pfoA+,Lineage 3,0,100
pfoA+,Lineage 3,48,1.23
pfoA+,Lineage 3,96,0.3
pfoA+,Lineage 3,144,0.065
pfoA+,Lineage 3,192,0.08
pfoA+,Lineage 3,240,0.0125
pfoA+,Lineage 3,288,0.0075
pfoA+,Lineage 3,336,0.0045
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,2.150442478
pfoA-,Lineage 5,96,0.203539823
pfoA-,Lineage 5,144,0.045132743
pfoA-,Lineage 5,192,0.036283186
pfoA-,Lineage 5,240,0.019469027
pfoA-,Lineage 5,288,0.017699115
pfoA-,Lineage 5,336,0.015929204
pfoA+,Lineage 1,0,100
pfoA+,Lineage 1,48,7.857142857
pfoA+,Lineage 1,96,0.173809524
pfoA+,Lineage 1,144,0.012619048
pfoA+,Lineage 1,192,0.005714286
pfoA+,Lineage 1,240,0.002928571
pfoA+,Lineage 1,288,0.001738095
pfoA+,Lineage 1,336,0.000547619
pfoA+,Lineage 3,0,100
pfoA+,Lineage 3,48,1.869565217
pfoA+,Lineage 3,96,1.130434783
pfoA+,Lineage 3,144,0.082608696
pfoA+,Lineage 3,192,0.04173913
pfoA+,Lineage 3,240,0.017391304
pfoA+,Lineage 3,288,0.004347826
pfoA+,Lineage 3,336,0.001086957
pfoA+,Lineage 7,0,100
pfoA+,Lineage 7,48,12.3
pfoA+,Lineage 7,96,5.3
pfoA+,Lineage 7,144,0.26
pfoA+,Lineage 7,192,0.146
pfoA+,Lineage 7,240,0.073
pfoA+,Lineage 7,288,0.03
pfoA+,Lineage 7,336,0.0022
pfoA+,Lineage 7,0,100
pfoA+,Lineage 7,48,33.19148936
pfoA+,Lineage 7,96,7.021276596
pfoA+,Lineage 7,144,0.425531915
pfoA+,Lineage 7,192,0.574468085
pfoA+,Lineage 7,240,0.489361702
pfoA+,Lineage 7,288,0.204255319
pfoA+,Lineage 7,336,0.027659574
pfoA+,Lineage 7,0,100
pfoA+,Lineage 7,48,16.92307692
pfoA+,Lineage 7,96,4.846153846
pfoA+,Lineage 7,144,3.076923077
pfoA+,Lineage 7,192,1
pfoA+,Lineage 7,240,0.176923077
pfoA+,Lineage 7,288,0.035384615
pfoA+,Lineage 7,336,0.02
pfoA-,Lineage 6,0,100
pfoA-,Lineage 6,48,6
pfoA-,Lineage 6,96,3.461538462
pfoA-,Lineage 6,144,0.065384615
pfoA-,Lineage 6,192,0.038461538
pfoA-,Lineage 6,240,0.031923077
pfoA-,Lineage 6,288,0.015384615
pfoA-,Lineage 6,336,0.001230769
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.192028986
pfoA-,Lineage 5,96,0.017028986
pfoA-,Lineage 5,144,0.003623188
pfoA-,Lineage 5,192,0.000471014
pfoA-,Lineage 5,240,0.0000001
pfoA-,Lineage 5,288,0.0000001
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,1.538461538
pfoA-,Lineage 5,96,0.002153846
pfoA-,Lineage 5,144,0.000538462
pfoA-,Lineage 5,192,0.000407692
pfoA-,Lineage 5,240,0.0000001
pfoA-,Lineage 5,288,0.0000001
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.451612903
pfoA-,Lineage 5,96,0.004612903
pfoA-,Lineage 5,144,0.00083871
pfoA-,Lineage 5,192,0.0000001
pfoA-,Lineage 5,240,0.0000001
pfoA-,Lineage 5,288,0.0000001
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,26
pfoA-,Lineage 5,96,0.46
pfoA-,Lineage 5,144,0.031
pfoA-,Lineage 5,192,0.032
pfoA-,Lineage 5,240,0.025
pfoA-,Lineage 5,288,0.0246
pfoA-,Lineage 5,336,0.025
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.946153846
pfoA-,Lineage 5,96,0.923076923
pfoA-,Lineage 5,144,0.043076923
pfoA-,Lineage 5,192,0.038461538
pfoA-,Lineage 5,240,0.016384615
pfoA-,Lineage 5,288,0.006153846
pfoA-,Lineage 5,336,0.002
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,3.6
pfoA-,Lineage 5,96,0.06
pfoA-,Lineage 5,144,0.0093
pfoA-,Lineage 5,192,0.0004
pfoA-,Lineage 5,240,0.00026
pfoA-,Lineage 5,288,0.00033
pfoA-,Lineage 5,336,0.0003
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,0.210526316
pfoA-,Lineage 5,96,0.002280702
pfoA-,Lineage 5,144,0.00022807
pfoA-,Lineage 5,192,0.00022807
pfoA-,Lineage 5,240,0.000175439
pfoA-,Lineage 5,288,0.000175439
pfoA-,Lineage 5,336,0.0000001
pfoA-,Lineage 5,0,100
pfoA-,Lineage 5,48,2.461538462
pfoA-,Lineage 5,96,0.123076923
pfoA-,Lineage 5,144,0.004076923
pfoA-,Lineage 5,192,0.003846154
pfoA-,Lineage 5,240,0.000769231
pfoA-,Lineage 5,288,0.001538462
pfoA-,Lineage 5,336,0.001
pfoA+,Lineage 1,0,100
pfoA+,Lineage 1,48,4
pfoA+,Lineage 1,96,0.195
pfoA+,Lineage 1,144,0.0018
pfoA+,Lineage 1,192,0.0021
pfoA+,Lineage 1,240,0.00065
pfoA+,Lineage 1,288,0.00055
pfoA+,Lineage 1,336,0.00018
pfoA+,Lineage 1,0,100
pfoA+,Lineage 1,48,8
pfoA+,Lineage 1,96,2
pfoA+,Lineage 1,144,0.063
pfoA+,Lineage 1,192,0.00083
pfoA+,Lineage 1,240,0.00036
pfoA+,Lineage 1,288,0.0002
pfoA+,Lineage 1,336,0.00016
pfoA+,Lineage 8,0,100
pfoA+,Lineage 8,48,3.913043478
pfoA+,Lineage 8,96,0.5
pfoA+,Lineage 8,144,0.083913043
pfoA+,Lineage 8,192,0.067391304
pfoA+,Lineage 8,240,0.053478261
pfoA+,Lineage 8,288,0.047826087
pfoA+,Lineage 8,336,0.034782609
