Strain,Group,plc,pfoA,ccp,colA,cpe,iap,ibp,becA,becB,cpb2,alv
IQ014,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ037,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ041,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ056,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ058,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ093,PFO-,10,0,10,10,0,0,0,0,0,10,0
IQ109,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ133,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ147,PFO-,10,0,10,10,0,0,0,0,0,10,0
IQ175,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ190,PFO-,10,0,10,10,0,0,0,0,0,0,0
IQ205,PFO-,10,0,10,10,0,0,0,0,0,0,0
LH019,PFO-,10,0,10,10,0,0,0,0,0,0,10
LH043,PFO-,10,0,10,10,0,0,0,0,0,10,0
LH111,PFO-,10,0,10,10,0,0,0,0,0,10,0