Time,PFO,CFU
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA+,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 0,pfoA-,1
Day 1,pfoA+,1
Day 1,pfoA+,20000
Day 1,pfoA+,1
Day 1,pfoA+,1
Day 1,pfoA+,2000000
Day 1,pfoA+,3300
Day 1,pfoA+,1
Day 1,pfoA+,10000
Day 1,pfoA+,33000
Day 1,pfoA+,3300
Day 1,pfoA+,13000000
Day 1,pfoA+,330000000
Day 1,pfoA+,10000
Day 1,pfoA+,153333
Day 1,pfoA+,150000
Day 1,pfoA-,133333333
Day 1,pfoA-,300000000
Day 1,pfoA-,530000000
Day 1,pfoA-,166666666
Day 1,pfoA-,32000000
Day 1,pfoA-,10000
Day 1,pfoA-,10000
Day 1,pfoA-,73000
Day 1,pfoA-,26000
Day 1,pfoA-,20000
Day 1,pfoA-,90000
Day 1,pfoA-,1
Day 1,pfoA-,1
Day 1,pfoA-,20000
Day 1,pfoA-,1
Day 2,pfoA+,1
Day 2,pfoA+,23333
Day 2,pfoA+,1
Day 2,pfoA+,844444
Day 2,pfoA+,1
Day 2,pfoA+,1
Day 2,pfoA+,1
Day 2,pfoA+,15333
Day 2,pfoA+,36666
Day 2,pfoA+,10000
Day 2,pfoA+,220000
Day 2,pfoA+,10000
Day 2,pfoA+,33333
Day 2,pfoA+,3300
Day 2,pfoA+,26666
Day 2,pfoA-,5000000
Day 2,pfoA-,40000
Day 2,pfoA-,2000000
Day 2,pfoA-,1600000
Day 2,pfoA-,56666
Day 2,pfoA-,7500
Day 2,pfoA-,1
Day 2,pfoA-,1
Day 2,pfoA-,20000
Day 2,pfoA-,3000
Day 2,pfoA-,3300
Day 2,pfoA-,1
Day 2,pfoA-,1
Day 2,pfoA-,3300
Day 2,pfoA-,1
Day 3,pfoA+,1
Day 3,pfoA+,1
Day 3,pfoA+,10000
Day 3,pfoA+,1
Day 3,pfoA+,20000
Day 3,pfoA+,1
Day 3,pfoA+,10000
Day 3,pfoA+,1
Day 3,pfoA+,1
Day 3,pfoA+,1
Day 3,pfoA+,16000
Day 3,pfoA+,1
Day 3,pfoA+,1
Day 3,pfoA+,1
Day 3,pfoA+,1
Day 3,pfoA-,76000
Day 3,pfoA-,43000
Day 3,pfoA-,23000
Day 3,pfoA-,16000
Day 3,pfoA-,10000
Day 3,pfoA-,1
Day 3,pfoA-,1
Day 3,pfoA-,1
Day 3,pfoA-,1
Day 3,pfoA-,1
Day 3,pfoA-,13000
Day 3,pfoA-,10000
Day 3,pfoA-,1
Day 3,pfoA-,1
Day 3,pfoA-,10000
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA+,1
Day 4,pfoA-,9000
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,10000
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,1
Day 4,pfoA-,3300
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,3300
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA+,16000
Day 5,pfoA+,1
Day 5,pfoA+,1
Day 5,pfoA-,3300
Day 5,pfoA-,3300
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,3300
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 5,pfoA-,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA+,1
Day 6,pfoA-,3300
Day 6,pfoA-,6600
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,6600
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 6,pfoA-,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1000
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1000
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA+,1
Day 7,pfoA-,28200
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1000
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
Day 7,pfoA-,1
