Time,Group,PFO,CFU
Day 0,IQ146,PFO+,1
Day 0,IQ146,PFO+,1
Day 0,IQ146,PFO+,1
Day 0,IQ146,PFO+,1
Day 0,IQ146,PFO+,1
Day 0,IQ129,PFO+,1
Day 0,IQ129,PFO+,1
Day 0,IQ129,PFO+,1
Day 0,IQ129,PFO+,1
Day 0,IQ129,PFO+,1
Day 0,LH115,PFO+,1
Day 0,LH115,PFO+,1
Day 0,LH115,PFO+,1
Day 0,LH115,PFO+,1
Day 0,LH115,PFO+,1
Day 0,IQ147,PFO-,1
Day 0,IQ147,PFO-,1
Day 0,IQ147,PFO-,1
Day 0,IQ147,PFO-,1
Day 0,IQ147,PFO-,1
Day 0,IQ133,PFO-,1
Day 0,IQ133,PFO-,1
Day 0,IQ133,PFO-,1
Day 0,IQ133,PFO-,1
Day 0,IQ133,PFO-,1
Day 0,LH043,PFO-,1
Day 0,LH043,PFO-,1
Day 0,LH043,PFO-,1
Day 0,LH043,PFO-,1
Day 0,LH043,PFO-,1
Day 1,IQ146,PFO+,1
Day 1,IQ146,PFO+,20000
Day 1,IQ146,PFO+,1
Day 1,IQ146,PFO+,1
Day 1,IQ146,PFO+,2000000
Day 1,IQ129,PFO+,3300
Day 1,IQ129,PFO+,1
Day 1,IQ129,PFO+,10000
Day 1,IQ129,PFO+,33000
Day 1,IQ129,PFO+,3300
Day 1,LH115,PFO+,13000000
Day 1,LH115,PFO+,330000000
Day 1,LH115,PFO+,10000
Day 1,LH115,PFO+,153333
Day 1,LH115,PFO+,150000
Day 1,IQ147,PFO-,133333333
Day 1,IQ147,PFO-,300000000
Day 1,IQ147,PFO-,530000000
Day 1,IQ147,PFO-,166666666
Day 1,IQ147,PFO-,32000000
Day 1,IQ133,PFO-,10000
Day 1,IQ133,PFO-,10000
Day 1,IQ133,PFO-,73000
Day 1,IQ133,PFO-,26000
Day 1,IQ133,PFO-,20000
Day 1,LH043,PFO-,90000
Day 1,LH043,PFO-,1
Day 1,LH043,PFO-,1
Day 1,LH043,PFO-,20000
Day 1,LH043,PFO-,1
Day 2,IQ146,PFO+,1
Day 2,IQ146,PFO+,23333
Day 2,IQ146,PFO+,1
Day 2,IQ146,PFO+,844444
Day 2,IQ146,PFO+,1
Day 2,IQ129,PFO+,1
Day 2,IQ129,PFO+,1
Day 2,IQ129,PFO+,15333
Day 2,IQ129,PFO+,36666
Day 2,IQ129,PFO+,10000
Day 2,LH115,PFO+,220000
Day 2,LH115,PFO+,10000
Day 2,LH115,PFO+,33333
Day 2,LH115,PFO+,3300
Day 2,LH115,PFO+,26666
Day 2,IQ147,PFO-,5000000
Day 2,IQ147,PFO-,40000
Day 2,IQ147,PFO-,2000000
Day 2,IQ147,PFO-,1600000
Day 2,IQ147,PFO-,56666
Day 2,IQ133,PFO-,7500
Day 2,IQ133,PFO-,1
Day 2,IQ133,PFO-,1
Day 2,IQ133,PFO-,20000
Day 2,IQ133,PFO-,3000
Day 2,LH043,PFO-,3300
Day 2,LH043,PFO-,1
Day 2,LH043,PFO-,1
Day 2,LH043,PFO-,3300
Day 2,LH043,PFO-,1
Day 3,IQ146,PFO+,1
Day 3,IQ146,PFO+,1
Day 3,IQ146,PFO+,10000
Day 3,IQ146,PFO+,1
Day 3,IQ146,PFO+,20000
Day 3,IQ129,PFO+,1
Day 3,IQ129,PFO+,10000
Day 3,IQ129,PFO+,1
Day 3,IQ129,PFO+,1
Day 3,IQ129,PFO+,1
Day 3,LH115,PFO+,16000
Day 3,LH115,PFO+,1
Day 3,LH115,PFO+,1
Day 3,LH115,PFO+,1
Day 3,LH115,PFO+,1
Day 3,IQ147,PFO-,76000
Day 3,IQ147,PFO-,43000
Day 3,IQ147,PFO-,23000
Day 3,IQ147,PFO-,16000
Day 3,IQ147,PFO-,10000
Day 3,IQ133,PFO-,1
Day 3,IQ133,PFO-,1
Day 3,IQ133,PFO-,1
Day 3,IQ133,PFO-,1
Day 3,IQ133,PFO-,1
Day 3,LH043,PFO-,13000
Day 3,LH043,PFO-,10000
Day 3,LH043,PFO-,1
Day 3,LH043,PFO-,1
Day 3,LH043,PFO-,10000
Day 4,IQ146,PFO+,1
Day 4,IQ146,PFO+,1
Day 4,IQ146,PFO+,1
Day 4,IQ146,PFO+,1
Day 4,IQ146,PFO+,1
Day 4,IQ129,PFO+,1
Day 4,IQ129,PFO+,1
Day 4,IQ129,PFO+,1
Day 4,IQ129,PFO+,1
Day 4,IQ129,PFO+,1
Day 4,LH115,PFO+,1
Day 4,LH115,PFO+,1
Day 4,LH115,PFO+,1
Day 4,LH115,PFO+,1
Day 4,LH115,PFO+,1
Day 4,IQ147,PFO-,9000
Day 4,IQ147,PFO-,1
Day 4,IQ147,PFO-,1
Day 4,IQ147,PFO-,10000
Day 4,IQ147,PFO-,1
Day 4,IQ133,PFO-,1
Day 4,IQ133,PFO-,1
Day 4,IQ133,PFO-,1
Day 4,IQ133,PFO-,1
Day 4,IQ133,PFO-,1
Day 4,LH043,PFO-,1
Day 4,LH043,PFO-,1
Day 4,LH043,PFO-,1
Day 4,LH043,PFO-,1
Day 4,LH043,PFO-,3300
Day 5,IQ146,PFO+,1
Day 5,IQ146,PFO+,1
Day 5,IQ146,PFO+,1
Day 5,IQ146,PFO+,1
Day 5,IQ146,PFO+,1
Day 5,IQ129,PFO+,1
Day 5,IQ129,PFO+,1
Day 5,IQ129,PFO+,3300
Day 5,IQ129,PFO+,1
Day 5,IQ129,PFO+,1
Day 5,LH115,PFO+,1
Day 5,LH115,PFO+,1
Day 5,LH115,PFO+,16000
Day 5,LH115,PFO+,1
Day 5,LH115,PFO+,1
Day 5,IQ147,PFO-,3300
Day 5,IQ147,PFO-,3300
Day 5,IQ147,PFO-,1
Day 5,IQ147,PFO-,1
Day 5,IQ147,PFO-,1
Day 5,IQ133,PFO-,1
Day 5,IQ133,PFO-,1
Day 5,IQ133,PFO-,1
Day 5,IQ133,PFO-,1
Day 5,IQ133,PFO-,1
Day 5,LH043,PFO-,3300
Day 5,LH043,PFO-,1
Day 5,LH043,PFO-,1
Day 5,LH043,PFO-,1
Day 5,LH043,PFO-,1
Day 6,IQ146,PFO+,1
Day 6,IQ146,PFO+,1
Day 6,IQ146,PFO+,1
Day 6,IQ146,PFO+,1
Day 6,IQ146,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,IQ129,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,LH115,PFO+,1
Day 6,IQ147,PFO-,3300
Day 6,IQ147,PFO-,6600
Day 6,IQ147,PFO-,1
Day 6,IQ147,PFO-,1
Day 6,IQ147,PFO-,6600
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,IQ133,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 6,LH043,PFO-,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ146,PFO+,1
Day 7,IQ129,PFO+,1
Day 7,IQ129,PFO+,1000
Day 7,IQ129,PFO+,1
Day 7,IQ129,PFO+,1
Day 7,IQ129,PFO+,1
Day 7,LH115,PFO+,1000
Day 7,LH115,PFO+,1
Day 7,LH115,PFO+,1
Day 7,LH115,PFO+,1
Day 7,LH115,PFO+,1
Day 7,IQ147,PFO-,28200
Day 7,IQ147,PFO-,1
Day 7,IQ147,PFO-,1
Day 7,IQ147,PFO-,1000
Day 7,IQ147,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,IQ133,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
Day 7,LH043,PFO-,1
