Genus,G1AD0,G1AD2,G1AD6,G1BD0,G1BD2,G1BD6,G1CD0,G1CD2,G1CD6,G1DD0,G1DD2,G1DD6,G1ED0,G1ED2,G1ED6,G2AD0,G2AD6,G2BD0,G2BD2,G2BD6,G2CD0,G2CD2,G2CD6,G2DD0,G2DD6,G2ED0,G2ED2,G2ED6,G3AD0,G3AD2,G3AD6,G3BD0,G3BD2,G3BD6,G3CD0,G3CD2,G3CD6,G3DD0,G3DD2,G3DD6,G3ED0,G3ED2,G3ED6,G4AD0,G4AD2,G4BD0,G4BD2,G4BD6,G4CD0,G4CD2,G4CD6,G4DD0,G4DD2,G4DD6,G4ED0,G4ED2,G4ED6,G5AD0,G5AD2,G5AD6,G5BD0,G5BD2,G5BD6,G5CD0,G5CD2,G5CD6,G5DD0,G5DD2,G5DD6,G5ED0,G5ED2,G5ED6,G6AD0,G6AD2,G6AD6,G6BD0,G6BD2,G6BD6,G6DD0,G6DD2,G6DD6,G6ED0,G6ED2,G6ED6,G7AD0,G7AD2,G7AD6,G7BD0,G7BD2,G7BD6,G7CD0,G7CD2,G7CD6,G7DD0,G7DD2,G7DD6,G7ED0,G7ED2,G7ED6,G8AD0,G8AD2,G8AD6,G8BD0,G8BD2,G8BD6,G8CD0,G8CD2,G8CD6,G8DD0,G8DD2,G8DD6,G8ED0,G8ED2,G8ED6
Mucispirillum,0.012838619,0.173075227,0.001890192,0.121216978,0.031962011,0,0.211740042,0.168575615,0.014795346,0.185042845,0.179420345,0,0,0.354309287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,2.099114135,4.807522709,0.902881913,4.317728734,4.113967399,1.176243733,6.57966457,15.13399398,3.258457281,2.751444758,3.769946386,7.591973244,0.613078459,14.34319916,8.318976396,0.207226882,24.94782933,0.397618497,50.52520514,33.82394793,6.410996429,54.019143,31.04604203,0.152700277,20.99816082,0.20386975,44.34835461,9.206540417,1.579082337,48.35453638,34.24204838,0.522952359,39.83599606,34.38017243,1.255701205,60.99615591,22.98502871,0.568607734,53.10329195,41.14707228,1.661185597,1.173778171,39.27233187,0.371949036,57.74849386,1.540013189,47.91494653,54.28440375,0.641164536,54.40927118,47.90848673,0.678510122,46.57118624,27.77313893,7.722504343,56.05816486,41.76776905,0.220865272,59.84034668,57.44517869,1.348094315,6.910422199,62.27403495,3.093427443,55.90037701,49.64241507,5.403880617,64.40891673,76.11720526,0.84482943,58.87829658,29.83004668,0.087319956,39.44486295,25.37327627,0.25129558,53.02125333,15.66874951,0.074283555,29.31354633,19.40737218,0.377485276,44.66142223,28.18979266,0.180117367,47.98529229,43.72168392,0.446756049,43.54137373,54.67250428,2.373035541,45.43271235,36.96790923,1.431784409,46.53058525,34.41669356,0.262264214,34.20726107,57.9766537,5.043265181,47.16384449,37.63150994,1.763067152,45.98283707,39.3185094,1.983550664,51.6675946,49.2007061,1.489617461,44.53941515,31.28407559,2.737389088,51.57824252,53.00069409
Prevotella,0.489472333,0.447570332,0.047884875,2.369240941,0.582621798,1.417277285,0.555555556,0.258377578,0.087031444,0.839809833,0.384270345,0.655757286,0.018901883,0.434028876,0.12729208,0,0,0,0,0,0,0,0.003064157,0,0,0,0.871754797,0,0,0.011581498,0,0,0.004584317,0.017271406,0,0,0.056398687,0,0,0,0.002108104,0,0,0,0,0,0.057311044,0.001730897,0,0,0.042493159,0,0,0.066371208,0.006681812,0,0.010962909,0,0,0.021448488,0.001474133,0,0.0157442,0,0,0.092834548,0,0,0.016800079,0,0,0.07593184,0,0,0.19428028,0,0,0.792533418,0,0,0.082758621,0,0.040379273,0.746701464,0,0,0,0.002366293,0,0,0.01176323,0,0,0,0,0,0,0,0.004061639,0,0,0.015733991,0,0,0.086643886,0,0,0.003284207,0,0,0.006839544,0.00196088,0.024915521,0.008586701
Fusobacterium,0,0,0,0.002003586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002419979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003123097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003325823,0.001954156,0,0,0
Burkholderia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001969784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003318657,0,0,0,0.001649321,0,0,0,0,0.00208544,0,0,0.002606441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009679917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrio,0.775131596,0.763956257,0.185868921,1.135031707,1.632802155,0.433860393,7.056603774,15.14502229,6.196638846,0.607794574,3.635027937,2.017439083,0.460219755,3.130575626,2.296744176,0,0.020495621,0.004207603,0.003360238,0.19191617,0.00391332,0.001477083,0.012869461,0.004061178,0,0.015101463,0.018233915,0.010629063,0.01282203,0.006236191,0.008673704,0.030286816,0.032090219,0.054692785,0.031019151,0,0.01538146,0.006399122,0.021936559,0.005718207,0,0,0.032073095,0.003465364,0.005563592,0,0.001942747,0,0,0.001436947,0.006798905,0,7.414098648,0.010705034,0.021715889,8.144213876,0.010962909,0,0,0.317641892,0.002948265,0.006285059,0,1.039991255,0.031295943,0.006876633,0.002212438,0.00295517,0.00592944,0,0.001649321,0.044665788,0,0.05910645,0.006793017,0,0.001366774,0.042711382,0.00130322,0.007368545,0.001902497,0.001976363,0.018973393,0.108742932,0,0,0.023148914,0.031235063,0,0.052190554,0.001568431,0.001667806,0.002972055,0.018073015,0.00330696,0.029123997,0,0.029005592,0.002436984,0,0,0.013636125,0,0.007199217,0.002429268,0,0,0.018063139,0.00235699,0,0.005862467,0,0.024915521,0.001431117
Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001736563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007814535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001970113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001619512,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0.003144654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus,0,0.304259635,5.794069836,0.022039451,0.11871604,2.607983031,0.025157233,2.465615301,1.208866764,0.008540439,1.239695692,3.606067845,0.018080062,0.211320182,2.081664454,0.007445277,0.376374138,0,0.002016143,0.467020337,0.00293499,0.030280203,0.105407012,0,1.714152039,0.002831524,0.011287662,0.571312158,0.00197262,0.001781769,0,0,0,0.008635703,0,0.038027529,0,0,0,0,0.003162155,0.036652631,0,0.050825334,0.067557901,0.002586084,0,0.049330575,0,0,0.057790696,0,0,0.041749631,0,0,0.031975151,0,0,0.069452246,0,0,0.027194527,0.015615484,0,0.037821483,0.015487068,0,0.016800079,0,0.006597285,0.008933158,0.005086599,0.00115895,0.047551117,0.025025286,0.007517256,0.047457091,0,0.001473709,0.010463734,0.002964544,0,0.047121937,0.026146069,0.001382304,0.013227951,0.015617531,0,0.008698426,0.077637316,0.020847579,0.022290414,0,0.00165348,0.011019891,0.030261256,0,0.004873967,0.003828777,0.01558939,0.02727225,0.007792562,0.007919138,0.080165838,0,0.007184037,0.164210353,0.00235699,0.003325823,0.029312333,0,0.01090054,0.058675788
Planococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002031467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeotgalicoccus,0,0,1.930516527,0.002003586,0,0.27959892,0.002096436,0,0.433416593,0,0.001412759,1.434543717,0.002465463,0,0.193132812,0,0.009316192,0,0,0.005837754,0,0,0.001838494,0.015432475,0.003226639,0,0,0.072631933,0,0,0,0,0,0.002878568,0,0,0,0,0,0,0,0,0,0,0.096965458,0,0,0,0,0,0,0.003047201,0,0.01284604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296472,0.002673511,0,0,0.008477666,0,0,0,0,0.007909515,0.009774152,0,0,0,0,0,0,0,0.006613975,0,0,0,0,0,0.001486028,0,0,0,0,0,0,0,0,0.009440394,0,0,0,0,0,0,0,0,0.001954156,0.007843522,0,0
Enterococcus,0,0,0,0,0,0,0,0.003150946,0,0,0,0,0,0.006326952,0.007681419,61.87273539,0.333519657,69.33604022,7.123031741,0.356832726,57.39177224,14.82178993,0.035544225,65.75615065,0.471895973,70.07267579,3.955023009,0.453506705,46.43744822,14.06528401,0.128370818,54.33353861,12.06534944,0.8002418,48.9183507,16.12119208,0.235849057,45.21071396,11.85963527,0.04231473,52.84593979,52.27022823,0.972362379,80.63901306,8.864391423,51.83288723,25.16926185,5.408188876,51.09815431,14.04759168,1.483861098,51.62974475,10.14680632,0.566296273,57.1478685,11.23381723,1.076192216,53.6629531,19.07857224,1.610679304,53.46384321,61.94553997,1.425565718,55.19136776,26.06733722,0.240682162,85.35033961,22.67206478,0.500049412,63.69906962,14.33260213,2.4677848,64.5921819,8.04890769,1.906120508,51.8513498,8.792455409,0.416040497,45.13377556,5.457881396,0.04470868,51.64038104,5.015300339,0.587211831,53.54327659,8.595164701,0.12676786,19.33545038,7.451170375,0.179767462,20.32058722,22.31107924,0.458439522,39.42829029,13.43866002,0.296749919,33.13607478,4.537763669,0.29243804,34.87020446,16.58339953,0.323071275,57.32403421,17.43866267,1.201677814,24.36334547,24.35927369,2.865470668,55.35861598,11.98293853,0.184667696,32.77709692,22.48781475,0.976021638
Lactobacillus,88.18285402,83.17973366,89.25362602,85.57718316,87.96949911,87.48553799,69.35220126,41.64920517,78.4240346,85.5396134,80.74692548,80.4491161,92.21406793,57.89540284,73.36852155,33.11162952,54.89845351,24.77541918,6.571280721,52.33181795,19.92760358,8.411988006,33.20688577,26.33998554,51.86661074,22.68145352,6.545975514,60.1082393,32.81749319,21.483679,43.80307223,33.59817471,31.98821831,46.62847767,42.76047471,11.30409623,38.12551272,39.11143615,26.71799822,25.2516011,19.87730837,20.15358347,25.96512638,17.92401613,27.58031442,45.55128852,18.43181443,25.04435425,46.85721039,26.18404414,29.41376438,45.00512946,30.71899932,59.81758623,31.58826674,18.97644744,23.86351179,45.30011693,15.43505531,38.92287737,44.70749523,11.11984036,32.83524411,38.2782367,12.85972139,47.92153762,7.75570256,3.680171794,21.5041012,33.72767618,18.50208639,64.70956071,22.67351662,13.17146665,42.02975341,43.29165928,9.376067792,56.4992486,48.14942723,13.80128507,61.83781213,45.62927388,14.60464799,45.02319849,41.10839967,17.02445295,28.46654982,79.21779831,25.58282426,23.89312534,55.67693466,22.25270602,28.15056432,47.45772923,8.258306671,19.37611675,59.6718335,22.89669175,23.16759137,35.16195727,22.70631816,29.18445482,23.75172897,15.74180729,47.16666397,48.49991069,14.66531367,20.2093682,28.8601598,19.97073276,53.02112442,42.41678514,12.38612828,27.00946684
Streptococcus,0.016048273,0.045197989,0,0.002003586,0,0,0,0,0.001740629,0.039855382,0.007770172,0.003583373,0,0.013919293,0.005486728,0,0.004658096,0,0.011424808,0,0,0.001477083,0,0,0.00161332,0,0,0,0,0,0,0.002019121,0,0,0,0,0,0.001828321,0,0,0,0,0.001564541,0,0,0,0.004856868,0,0,0,0,0,0,0.002141007,0,0,0,0,0,0,0,0,0.010019036,0,0,0,0,0,0.00197648,0,0.002473982,0.024566184,0,0,0,0,0,0.011073321,0,0.002210564,0.001902497,0,0,0.068870523,0,0,0.018739597,0,0.007089601,0,0,0.00250171,0,0,0,0.00157427,0,0,0,0,0.001484704,0.006293596,0,0,0,0,0,0.001642104,0,0.004157278,0.020518633,0,0,0
