Group,Group2,Weight
Untreated,Control,160.54
Untreated,Control,198.17
Untreated,Control,164.22
Untreated,Control,155.9
Untreated,Control,172.93
ABX,Control,169.74
ABX,Control,169.83
ABX,Control,182.65
ABX,Control,169.48
ABX,Control,160.61
IQ146,pfoA+,168.07
IQ146,pfoA+,165.06
IQ146,pfoA+,222.74
IQ146,pfoA+,176.46
IQ146,pfoA+,159.73
IQ036,pfoA+,204.17
IQ036,pfoA+,239.5
IQ036,pfoA+,177.48
IQ036,pfoA+,173.3
IQ036,pfoA+,111.59
LH115,pfoA+,150.29
LH115,pfoA+,184.65
LH115,pfoA+,149.17
LH115,pfoA+,152.31
LH115,pfoA+,230.06
IQ147,pfoA-,154.75
IQ147,pfoA-,223.49
IQ147,pfoA-,170.04
IQ147,pfoA-,144.6
IQ133,pfoA-,159.99
IQ133,pfoA-,146
IQ133,pfoA-,117.58
IQ133,pfoA-,174.54
IQ133,pfoA-,158.98
LH043,pfoA-,158.58
LH043,pfoA-,172.5
LH043,pfoA-,130.87
LH043,pfoA-,173.52
LH043,pfoA-,241.25