Individual,Group,pfoA,Day,Mucispirillum,Bacteroides,Prevotella,Fusobacterium,Hyphomicrobium,Paracoccus,Burkholderia,Neisseria,Desulfovibrio,Acinetobacter,Pseudomonas,Actinomyces,Bacillus,Planococcus,Jeotgalicoccus,Enterococcus,Lactobacillus,Streptococcus,Candidatus Arthromitus,Clostridium,Blautia,Coprococcus,Dorea,Dehalobacterium,Peptostreptococcus,Anaerotruncus,Oscillospira,Ruminococcus,Allobaculum,Coprobacillus,Anaeroplasma,Methanomethylovorans
G1AD0,Control,Control,Day 0,0.012838619,2.099114135,0.489472333,0,0,0,0,0,0.775131596,0,0,0,0,0,0,0,88.18285402,0.016048273,6.680093722,0.014443446,0.78476056,0.031294133,0.003209655,0.102708949,0,0,0.492681987,0.089067916,0.154063423,0.067402747,0.004814482,0
G1AD2,Control,Control,Day 2,0.173075227,4.807522709,0.447570332,0,0,0,0,0,0.763956257,0,0,0,0.304259635,0,0,0,83.17973366,0.045197989,1.320663198,0.046300379,5.247376312,0.135593968,0.058426669,0.221580386,0,0,2.711879354,0.347252844,0.048505159,0.115750948,0.02535497,0
G1AD6,Control,Control,Day 6,0.001890192,0.902881913,0.047884875,0,0,0,0,0,0.185868921,0,0,0,5.794069836,0,1.930516527,0,89.25362602,0,0.400720793,0.015121539,1.038975768,0.015751604,0.024572501,0.020162052,0,0,0.227453155,0.071827312,0.039063977,0.029613015,0,0
G1BD0,Control,Control,Day 0,0.121216978,4.317728734,2.369240941,0.002003586,0,0,0,0,1.135031707,0,0,0,0.022039451,0,0.002003586,0,85.57718316,0.002003586,0.121216978,0.221396299,1.865338957,0.277496719,0.083148836,0.254455475,0,0.005008966,2.358221216,0.773384358,0.020035864,0.097173941,0.37467066,0
G1BD2,Control,Control,Day 2,0.031962011,4.113967399,0.582621798,0,0,0,0,0,1.632802155,0,0,0,0.11871604,0,0,0,87.96949911,0,0.061184421,0.124195242,2.114971919,0.079448427,0.191772065,0.148851651,0,0.004566002,1.699465778,0.52874298,0.031962011,0.05753162,0.507739373,0
G1BD6,Control,Control,Day 6,0,1.176243733,1.417277285,0,0,0,0,0,0.433860393,0,0,0,2.607983031,0,0.27959892,0,87.48553799,0,0.318164288,0.154261473,1.031623602,0.159082144,0.024103355,0.13979946,0,0,2.318742769,0.689355958,0.130158118,0.978596221,0.655611261,0
G1CD0,Control,Control,Day 0,0.211740042,6.57966457,0.555555556,0,0,0,0,0,7.056603774,0,0,0.003144654,0.025157233,0,0.002096436,0,69.35220126,0,0.213836478,0.100628931,8.850104822,0.097484277,0.190775681,0.488469602,0,0.007337526,4.323899371,0.957023061,0.432914046,0.551362683,0,0
G1CD2,Control,Control,Day 2,0.168575615,15.13399398,0.258377578,0,0,0,0,0,15.14502229,0,0,0,2.465615301,0,0,0.003150946,41.64920517,0,0.748349692,0.367085217,12.29971799,0.179603926,0.307217242,0.313519134,0,0,7.915176532,2.274983064,0.075622706,0.694783609,0,0
G1CD6,Control,Control,Day 6,0.014795346,3.258457281,0.087031444,0,0,0,0,0,6.196638846,0,0,0,1.208866764,0,0.433416593,0,78.4240346,0.001740629,0.140120626,0.058311068,4.665755738,0.10965962,0.178414461,0.395122758,0,0,3.190572754,1.27675129,0.167970688,0.192339492,0,0
G1DD0,Control,Control,Day 0,0.185042845,2.751444758,0.839809833,0,0,0,0,0,0.607794574,0,0,0,0.008540439,0,0,0,85.5396134,0.039855382,1.123067726,0.015657471,4.240327953,0.038431975,0.106755487,0.240555698,0,0.005693626,1.776411308,1.004924986,0.92236741,0.553705127,0,0
G1DD2,Control,Control,Day 2,0.179420345,3.769946386,0.384270345,0,0,0,0,0,3.635027937,0,0,0,1.239695692,0,0.001412759,0,80.74692548,0.007770172,0.505767587,0.001412759,6.640671908,0.021191379,0.104544138,0.233811552,0,0.002119138,1.460086037,0.880855002,0.04097,0.14410138,0,0
G1DD6,Control,Control,Day 6,0,7.591973244,0.655757286,0,0,0,0,0,2.017439083,0,0,0,3.606067845,0,1.434543717,0,80.4491161,0.003583373,0.298614429,0.007166746,2.502388915,0.023889154,0.047778309,0.121834687,0,0,0.641423794,0.234113712,0.225752508,0.138557095,0,0
G1ED0,Control,Control,Day 0,0,0.613078459,0.018901883,0,0,0,0,0,0.460219755,0,0,0,0.018080062,0,0.002465463,0,92.21406793,0,2.522168621,0,2.630648992,0.001643642,0.012327315,0.042734692,0,0,0.489805311,0.04109105,0.742104355,0.19066247,0,0
G1ED2,Control,Control,Day 2,0.354309287,14.34319916,0.434028876,0,0,0,0,0,3.130575626,0,0,0,0.211320182,0,0,0.006326952,57.89540284,0.013919293,3.832867248,0,5.866349475,0.406190289,0.103762005,0.795930505,0,0.002530781,9.52332747,2.57506928,0.08098498,0.423905754,0,0
G1ED6,Control,Control,Day 6,0,8.318976396,0.12729208,0,0,0,0,0,2.296744176,0,0,0,2.081664454,0,0.193132812,0.007681419,73.36852155,0.005486728,2.10470871,0.182159357,4.721877778,0.109734552,0.126194735,0.735221499,0,0,3.982266896,1.340956227,0.008778764,0.288601872,0,0
G2AD0,ABX,ABX,Day 0,0,0.207226882,0,0,0,0,0,0,0,0,0,0,0.007445277,0,0,61.87273539,33.11162952,0,0.003722639,0,0.064525736,0,0,0,0,0,0.002481759,0.007445277,2.584752072,2.13803544,0,0
G2AD6,ABX,ABX,Day 6,0,24.94782933,0,0,0,0,0,0,0.020495621,0,0,0,0.376374138,0,0.009316192,0.333519657,54.89845351,0.004658096,0.01117943,0.44065586,2.642071921,0.097820011,0.014905906,0.3307248,0,0,2.63182411,1.557667226,11.34805292,0.304639463,0.029811813,0
G2BD0,ABX,ABX,Day 0,0,0.397618497,0,0,0,0,0,0,0.004207603,0,0,0,0,0,0,69.33604022,24.77541918,0,0.396566596,0.003155702,0.030505123,0,0.005259504,0,0,0,0.034712726,0.596427745,3.011591947,1.408495151,0,0
G2BD2,ABX,ABX,Day 2,0,50.52520514,0,0,0,0,0,0,0.003360238,0,0,0,0.002016143,0,0,7.123031741,6.571280721,0.011424808,0.050403565,0.003360238,2.119637901,0,0,0,0,0,0.488578552,4.376373497,28.62855261,0.096774844,0,0
G2BD6,ABX,ABX,Day 6,0,33.82394793,0,0,0,0,0,0,0.19191617,0,0,0,0.467020337,0,0.005837754,0.356832726,52.33181795,0,0.015324105,0.44439904,2.76563606,0.186078416,0.005108035,0.120403681,0,0,3.056794051,1.125227125,3.680704033,1.085092565,0.337860025,0
G2CD0,ABX,ABX,Day 0,0,6.410996429,0,0,0,0,0,0,0.00391332,0,0,0,0.00293499,0,0,57.39177224,19.92760358,0,0.264149097,0,0.05185149,0,0.01760994,0,0,0,0.04402485,0.01467495,15.7951377,0.075331409,0,0
G2CD2,ABX,ABX,Day 2,0,54.019143,0,0,0,0,0,0,0.001477083,0,0,0,0.030280203,0,0,14.82178993,8.411988006,0.001477083,0,0.004431249,4.529475192,0,0.003692708,0,0,0,0.211961419,0.013293748,17.61569253,0.335297854,0,0
G2CD6,ABX,ABX,Day 6,0,31.04604203,0.003064157,0,0,0,0,0,0.012869461,0,0,0,0.105407012,0,0.001838494,0.035544225,33.20688577,0,0.007966809,0.004902652,1.408286707,0.001838494,0.001225663,0,0,0,1.615423742,0.864092366,31.33591131,0.09192472,0.256776384,0
G2DD0,ABX,ABX,Day 0,0,0.152700277,0,0,0,0,0,0,0.004061178,0,0,0,0,0,0.015432475,65.75615065,26.33998554,0,0.014620239,0,0,0,0.218491354,0,0,0,0.049546366,0.004873413,6.281017244,1.163121259,0,0
G2DD6,ABX,ABX,Day 6,0,20.99816082,0,0.002419979,0,0.00161332,0,0.009679917,0,0,0,0,1.714152039,0,0.003226639,0.471895973,51.86661074,0.00161332,0.027426433,0.181498451,0.304917398,0.029846412,0.004839959,0.017746515,0,0,0.48399587,0.130678885,23.32537429,0.202471606,0.22183144,0
G2ED0,ABX,ABX,Day 0,0,0.20386975,0,0,0,0,0,0,0.015101463,0,0,0,0.002831524,0,0,70.07267579,22.68145352,0,0,0,0.011326097,0.004719207,0,0,0,0,0.028315243,0.279377065,6.50684285,0.193487494,0,0
G2ED2,ABX,ABX,Day 2,0,44.34835461,0.871754797,0,0,0,0,0,0.018233915,0.001736563,0.007814535,0,0.011287662,0,0,3.955023009,6.545975514,0,0.003473127,0.002604845,1.728748806,0,0.001736563,0,0,0,0.719805505,4.576712686,37.14682643,0.059911435,0,0
G2ED6,ABX,ABX,Day 6,0,9.206540417,0,0,0,0,0,0,0.010629063,0,0,0,0.571312158,0,0.072631933,0.453506705,60.1082393,0,0.014172085,0.279012914,1.268401566,0.019486616,0.017715106,0.041630498,0,0,0.733405375,1.152367624,25.72233343,0.32861521,0,0
G3AD0,IQ146,pfoA+,Day 0,0,1.579082337,0,0,0,0,0,0,0.01282203,0,0,0,0.00197262,0,0,46.43744822,32.81749319,0,0.092713142,0,0.235728094,0.00591786,0,0,0,0,0.02071251,0.00295893,18.76257545,0.030575611,0,0
G3AD2,IQ146,pfoA+,Day 2,0,48.35453638,0.011581498,0,0,0,0,0,0.006236191,0,0,0,0.001781769,0,0,14.06528401,21.483679,0,0,0,6.729741287,0,0,0,0,0,0,1.461050531,7.886109329,0,0,0
G3AD6,IQ146,pfoA+,Day 6,0,34.24204838,0,0,0,0,0,0,0.008673704,0,0,0,0,0,0,0.128370818,43.80307223,0,0.134442411,0,0.344346046,0.004336852,0.012143186,0.001734741,0,0,0.086737039,0.023419001,20.77091881,0.439756789,0,0
G3BD0,IQ146,pfoA+,Day 0,0,0.522952359,0,0,0,0,0,0,0.030286816,0,0,0,0,0,0,54.33353861,33.59817471,0.002019121,0,0,0.041391982,0.005047803,0,0,0,0,0.01918165,0.021200771,11.42014881,0.006057363,0,0
G3BD2,IQ146,pfoA+,Day 2,0,39.83599606,0.004584317,0,0,0,0,0,0.032090219,0,0,0,0,0,0,12.06534944,31.98821831,0,0.012033832,0.006876476,2.531689092,0,0,0,0,0,0.10945057,5.138446375,8.246613336,0.028651982,0,0
G3BD6,IQ146,pfoA+,Day 6,0,34.38017243,0.017271406,0,0,0,0,0,0.054692785,0,0,0,0.008635703,0,0.002878568,0.8002418,46.62847767,0,0.051814217,0,8.316181868,0.084917745,0.012953554,0.420270873,0,0,1.495415881,5.78016379,1.511248003,0.431785144,0,0.002878568
G3CD0,IQ146,pfoA+,Day 0,0,1.255701205,0,0,0,0,0,0,0.031019151,0,0,0,0,0,0,48.9183507,42.76047471,0,0.002297715,0,0.006893145,0.005744287,0,0,0,0,0.024126007,0,6.872465333,0.122927748,0,0
G3CD2,IQ146,pfoA+,Day 2,0,60.99615591,0,0,0,0,0,0,0,0,0,0,0.038027529,0,0,16.12119208,11.30409623,0,0,0,6.840821725,0,0,0,0,0,0.011573596,0.001653371,4.68647956,0,0,0
G3CD6,IQ146,pfoA+,Day 6,0,22.98502871,0.056398687,0,0,0,0,0,0.01538146,0,0,0,0,0,0,0.235849057,38.12551272,0,0.369155045,0,3.563371616,0.025635767,0.010254307,0.071780148,0,0,2.573831009,5.306603774,26.5073831,0.153814602,0,0
G3DD0,IQ146,pfoA+,Day 0,0,0.568607734,0,0,0,0,0,0,0.006399122,0,0,0,0,0,0,45.21071396,39.11143615,0.001828321,0.002742481,0,0.081360271,0.001828321,0.003656641,0.012798245,0.001828321,0,0.003656641,0,14.96297651,0.030167291,0,0
G3DD2,IQ146,pfoA+,Day 2,0,53.10329195,0,0,0,0,0,0,0.021936559,0,0,0,0,0,0,11.85963527,26.71799822,0,0,0,5.356176604,0.001462437,0,0.001462437,0,0,0.005849749,0.005118531,2.927068252,0,0,0
G3DD6,IQ146,pfoA+,Day 6,0,41.14707228,0,0,0,0,0,0,0.005718207,0,0,0,0,0,0,0.04231473,25.2516011,0,0.013723696,0,2.198078683,0.005718207,0.003430924,0,0,0,0.529505947,0.251601098,30.37511436,0.176120769,0,0
G3ED0,IQ146,pfoA+,Day 0,0,1.661185597,0.002108104,0,0,0,0,0,0,0,0,0,0.003162155,0,0,52.84593979,19.87730837,0,0.004216207,0,0.003162155,0.051648537,0,0,0,0,0.079053883,0,25.25613458,0.216080614,0,0
G3ED2,IQ146,pfoA+,Day 2,0,1.173778171,0,0,0,0,0,0,0,0,0,0,0.036652631,0,0,52.27022823,20.15358347,0,0.012515533,0,8.262933462,0,0,0.093866495,0,0,0.023243132,0.001787933,17.96068335,0.010727599,0,0
G3ED6,IQ146,pfoA+,Day 6,0,39.27233187,0,0,0,0,0,0,0.032073095,0,0,0,0,0,0,0.972362379,25.96512638,0.001564541,0.015645412,0,0.608606541,0,0.003129082,0,0,0,0.059452567,0.122816487,32.85927734,0.087614309,0,0
G4AD0,IQ129,pfoA+,Day 0,0,0.371949036,0,0,0,0,0,0,0.003465364,0,0,0,0.050825334,0,0,80.63901306,17.92401613,0,0.152476002,0.006930727,0.015016576,0,0,0,0,0,0.157096487,0.289935429,0,0.389275855,0,0
G4AD2,IQ129,pfoA+,Day 2,0,57.74849386,0,0,0,0,0,0,0.005563592,0,0,0,0.067557901,0,0.096965458,8.864391423,27.58031442,0,0,0,5.513519528,0,0,0,0,0,0.109682239,0,0.01351158,0,0,0
G4BD0,IQ129,pfoA+,Day 0,0,1.540013189,0,0,0,0,0,0,0,0,0,0,0.002586084,0,0,51.83288723,45.55128852,0,0,0,0.651693239,0.002586084,0,0,0,0,0.007758253,0,0.002586084,0.408601316,0,0
G4BD2,IQ129,pfoA+,Day 2,0,47.91494653,0.057311044,0,0,0,0,0,0.001942747,0,0,0,0,0,0,25.16926185,18.43181443,0.004856868,0,0,8.392668072,0,0,0,0,0,0.027198461,0,0,0,0,0
G4BD6,IQ129,pfoA+,Day 6,0,54.28440375,0.001730897,0,0,0,0,0,0,0,0,0,0.049330575,0,0,5.408188876,25.04435425,0,0.011250833,0,4.611976079,0,0,0.069235895,0,0,0.259634608,0.175686084,8.413026734,1.351830857,0.319350567,0
G4CD0,IQ129,pfoA+,Day 0,0,0.641164536,0,0,0,0,0.001969784,0,0,0,0,0,0,0,0,51.09815431,46.85721039,0,0,0,0.03348632,0,0,0,0,0,0.233419347,0,0,1.134595308,0,0
G4CD2,IQ129,pfoA+,Day 2,0,54.40927118,0,0,0,0,0,0,0.001436947,0,0,0,0,0,0,14.04759168,26.18404414,0,0,0,5.32963559,0,0,0.002873894,0,0,0.025146569,0,0,0,0,0
G4CD6,IQ129,pfoA+,Day 6,0,47.90848673,0.042493159,0,0,0,0,0,0.006798905,0,0,0,0.057790696,0,0,1.483861098,29.41376438,0,0.040793432,0.003399453,3.018713987,0,0.005099179,0,0,0,3.594921218,1.171111451,12.08845376,0.185270172,0.979042374,0
G4DD0,IQ129,pfoA+,Day 0,0,0.678510122,0,0,0,0,0,0,0,0,0,0,0,0.002031467,0.003047201,51.62974475,45.00512946,0,0,0,0.135092584,0,0,0,0,0,0.006094402,0,0,2.540350022,0,0
G4DD2,IQ129,pfoA+,Day 2,0,46.57118624,0,0,0,0,0,0,7.414098648,0,0,0,0,0,0,10.14680632,30.71899932,0,0.006895553,0,5.113052592,0,0,0.005516442,0,0,0.011032885,0,0.011032885,0.001379111,0,0
