Group,Day,value
Control,Day 0,0
Control,Day 0,0
Control,Day 0,0
Control,Day 0,0
Control,Day 0,0
ABX,Day 0,0
ABX,Day 0,0
ABX,Day 0,0
ABX,Day 0,0
ABX,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA+,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
pfoA-,Day 0,0
Control,Day 1,1.587301587
Control,Day 1,1.630434783
Control,Day 1,4.081632653
Control,Day 1,6.315789474
Control,Day 1,2.958579882
ABX,Day 1,1.45631068
ABX,Day 1,-1.123595506
ABX,Day 1,0.584795322
ABX,Day 1,1.104972376
ABX,Day 1,-0.549450549
pfoA+,Day 1,2.395209581
pfoA+,Day 1,-0.518134715
pfoA+,Day 1,0.505050505
pfoA+,Day 1,1.530612245
pfoA+,Day 1,2.5
pfoA+,Day 1,1.03626943
pfoA+,Day 1,0.970873786
pfoA+,Day 1,0.507614213
pfoA+,Day 1,0
pfoA+,Day 1,1.675977654
pfoA+,Day 1,0.621118012
pfoA+,Day 1,1.111111111
pfoA+,Day 1,2.994011976
pfoA+,Day 1,1.685393258
pfoA+,Day 1,1.075268817
pfoA-,Day 1,-0.571428571
pfoA-,Day 1,2.645502646
pfoA-,Day 1,-1.639344262
pfoA-,Day 1,2.259887006
pfoA-,Day 1,3.225806452
pfoA-,Day 1,1.129943503
pfoA-,Day 1,3.333333333
pfoA-,Day 1,2.312138728
pfoA-,Day 1,0
pfoA-,Day 1,0
pfoA-,Day 1,3.550295858
pfoA-,Day 1,-0.4784689
pfoA-,Day 1,0.613496933
pfoA-,Day 1,0
pfoA-,Day 1,2.403846154
Control,Day 2,-1.069518717
Control,Day 2,2.127659574
Control,Day 2,1.01010101
Control,Day 2,0.523560209
Control,Day 2,-1.19760479
ABX,Day 2,0.961538462
ABX,Day 2,4.301075269
ABX,Day 2,6.043956044
ABX,Day 2,2.688172043
ABX,Day 2,1.621621622
pfoA+,Day 2,0.595238095
pfoA+,Day 2,1.530612245
pfoA+,Day 2,1
pfoA+,Day 2,0
pfoA+,Day 2,-1.265822785
pfoA+,Day 2,-2.116402116
pfoA+,Day 2,0.961538462
pfoA+,Day 2,0.505050505
pfoA+,Day 2,1.492537313
pfoA+,Day 2,1.648351648
pfoA+,Day 2,-0.625
pfoA+,Day 2,3.225806452
pfoA+,Day 2,0.595238095
pfoA+,Day 2,0.558659218
pfoA+,Day 2,0.534759358
pfoA-,Day 2,1.129943503
pfoA-,Day 2,-0.531914894
pfoA-,Day 2,0.543478261
pfoA-,Day 2,1.666666667
pfoA-,Day 2,3.626943005
pfoA-,Day 2,1.117318436
pfoA-,Day 2,2.173913043
pfoA-,Day 2,2.808988764
pfoA-,Day 2,2.259887006
pfoA-,Day 2,5.027932961
pfoA-,Day 2,0.588235294
pfoA-,Day 2,0
pfoA-,Day 2,2.976190476
pfoA-,Day 2,-0.561797753
pfoA-,Day 2,1.421800948
Control,Day 3,0
Control,Day 3,2.590673575
Control,Day 3,1
Control,Day 3,1.546391753
Control,Day 3,2.339181287
ABX,Day 3,-0.483091787
ABX,Day 3,-2.197802198
ABX,Day 3,1.086956522
ABX,Day 3,0.534759358
ABX,Day 3,2.116402116
pfoA+,Day 3,-0.598802395
pfoA+,Day 3,0.507614213
pfoA+,Day 3,2.43902439
pfoA+,Day 3,2
pfoA+,Day 3,2.469135802
pfoA+,Day 3,1.5625
pfoA+,Day 3,2.34741784
pfoA+,Day 3,0.502512563
pfoA+,Day 3,-0.5
pfoA+,Day 3,1.086956522
pfoA+,Day 3,1.840490798
pfoA+,Day 3,-0.540540541
pfoA+,Day 3,0.591715976
pfoA+,Day 3,2.717391304
pfoA+,Day 3,2.604166667
pfoA-,Day 3,0.561797753
pfoA-,Day 3,5.050505051
pfoA-,Day 3,2.127659574
pfoA-,Day 3,-0.558659218
pfoA-,Day 3,-2.116402116
pfoA-,Day 3,1.648351648
pfoA-,Day 3,1.604278075
pfoA-,Day 3,1.111111111
pfoA-,Day 3,0.561797753
pfoA-,Day 3,0
pfoA-,Day 3,0
pfoA-,Day 3,0.947867299
pfoA-,Day 3,-2.43902439
pfoA-,Day 3,0.558659218
pfoA-,Day 3,-3.431372549
Control,Day 4,1.058201058
Control,Day 4,0
Control,Day 4,0
Control,Day 4,1.020408163
Control,Day 4,-0.588235294
ABX,Day 4,-0.975609756
ABX,Day 4,3.191489362
ABX,Day 4,0.540540541
ABX,Day 4,0
ABX,Day 4,0
pfoA+,Day 4,0
pfoA+,Day 4,0
pfoA+,Day 4,-4.591836735
pfoA+,Day 4,-1.52284264
pfoA+,Day 4,-1.886792453
pfoA+,Day 4,-1.052631579
pfoA+,Day 4,0
pfoA+,Day 4,-0.505050505
pfoA+,Day 4,2.43902439
pfoA+,Day 4,-0.546448087
pfoA+,Day 4,-1.875
pfoA+,Day 4,0
pfoA+,Day 4,1.169590643
pfoA+,Day 4,0.540540541
pfoA+,Day 4,0.518134715
pfoA-,Day 4,-0.564971751
pfoA-,Day 4,-2.06185567
pfoA-,Day 4,-1.075268817
pfoA-,Day 4,0
pfoA-,Day 4,0
pfoA-,Day 4,0
pfoA-,Day 4,-2.18579235
pfoA-,Day 4,0
pfoA-,Day 4,1.657458564
pfoA-,Day 4,1.104972376
pfoA-,Day 4,0
pfoA-,Day 4,0.471698113
pfoA-,Day 4,1.204819277
pfoA-,Day 4,0
pfoA-,Day 4,0.970873786
Control,Day 5,1.047120419
Control,Day 5,0
Control,Day 5,0.99009901
Control,Day 5,-0.512820513
Control,Day 5,1.162790698
ABX,Day 5,-1.990049751
ABX,Day 5,-0.534759358
ABX,Day 5,-0.543478261
ABX,Day 5,-0.537634409
ABX,Day 5,-1.612903226
pfoA+,Day 5,1.183431953
pfoA+,Day 5,-1.025641026
pfoA+,Day 5,-1.554404145
pfoA+,Day 5,-0.510204082
pfoA+,Day 5,1.851851852
pfoA+,Day 5,-1.604278075
pfoA+,Day 5,-2.403846154
pfoA+,Day 5,-1.538461538
pfoA+,Day 5,0.966183575
pfoA+,Day 5,-2.234636872
pfoA+,Day 5,1.234567901
pfoA+,Day 5,1.069518717
pfoA+,Day 5,1.156069364
pfoA+,Day 5,-1.648351648
pfoA+,Day 5,1.025641026
pfoA-,Day 5,0.561797753
pfoA-,Day 5,-1.041666667
pfoA-,Day 5,-0.540540541
pfoA-,Day 5,1.104972376
pfoA-,Day 5,1.047120419
pfoA-,Day 5,-0.552486188
pfoA-,Day 5,-1.104972376
pfoA-,Day 5,-1.694915254
pfoA-,Day 5,0
pfoA-,Day 5,0
pfoA-,Day 5,-1.796407186
pfoA-,Day 5,0.469483568
pfoA-,Day 5,-1.219512195
pfoA-,Day 5,2.717391304
pfoA-,Day 5,-0.980392157
Control,Day 6,-2.688172043
Control,Day 6,0.515463918
Control,Day 6,0
Control,Day 6,1.515151515
Control,Day 6,2.272727273
ABX,Day 6,-2.551020408
ABX,Day 6,1.058201058
ABX,Day 6,1.075268817
ABX,Day 6,1.587301587
ABX,Day 6,-2.762430939
pfoA+,Day 6,-0.595238095
pfoA+,Day 6,1.015228426
pfoA+,Day 6,2.030456853
pfoA+,Day 6,-0.512820513
pfoA+,Day 6,1.219512195
pfoA+,Day 6,-0.537634409
pfoA+,Day 6,-3.482587065
pfoA+,Day 6,-0.515463918
pfoA+,Day 6,-3.5
pfoA+,Day 6,-2.285714286
pfoA+,Day 6,-1.25
pfoA+,Day 6,0
pfoA+,Day 6,0.574712644
pfoA+,Day 6,-1.111111111
pfoA+,Day 6,-3.723404255
pfoA-,Day 6,0.558659218
pfoA-,Day 6,-2.127659574
pfoA-,Day 6,0
pfoA-,Day 6,-0.555555556
pfoA-,Day 6,-1.058201058
pfoA-,Day 6,-3.428571429
pfoA-,Day 6,-1.117318436
pfoA-,Day 6,1.666666667
pfoA-,Day 6,0
pfoA-,Day 6,0.549450549
pfoA-,Day 6,1.764705882
pfoA-,Day 6,0.46728972
pfoA-,Day 6,0
pfoA-,Day 6,1.075268817
pfoA-,Day 6,-0.492610837
