Lineage,Toxin,Perc
I,plc,22.72727273
I,pfoA,22.72727273
I,ccp,22.72727273
I,colA,22.72727273
I,cpe,0
I,etx,0
I,iap/ibp,0
I,becA/B,0
I,cpb2,9.090909091
I,alv,0
III,plc,13.88888889
III,pfoA,13.88888889
III,ccp,13.88888889
III,colA,13.88888889
III,cpe,5.555555556
III,etx,0
III,iap/ibp,11
III,becA/B,11
III,cpb2,2.777777778
III,alv,13.88888889
V,plc,29.50819672
V,pfoA,5.737704918
V,ccp,29.50819672
V,colA,29.50819672
V,cpe,0.819672131
V,etx,0
V,iap/ibp,0
V,becA/B,0
V,cpb2,4.8
V,alv,0
VI,plc,23.07692308
VI,pfoA,15.38461538
VI,ccp,23.07692308
VI,colA,23.07692308
VI,cpe,0
VI,etx,0
VI,iap/ibp,0
VI,becA/B,0
VI,cpb2,15.38461538
VI,alv,0
VII,plc,20.98765432
VII,pfoA,20.98765432
VII,ccp,20.98765432
VII,colA,20.98765432
VII,cpe,0
VII,etx,1.234567901
VII,iap/ibp,0
VII,becA/B,0
VII,cpb2,14.7
VII,alv,0